18|ADVGO|Community Chest|move|Advance to Go|Collect $200.|0
19|BANKE|Community Chest|money|Bank error in your favor|Collect $200.|200
20|DOCTF|Community Chest|money|Doctor's Fees|Pay $50.|-50
21|SALES|Community Chest|money|From sale of stock you get $50|Collect $50.|50
22|GETJF|Community Chest|item|Get out of Jail Free|This card may be kept until needed or traded/sold.|0
23|GOTOJ|Community Chest|move_jail|Go to Jail|Do not pass Go do not collect $200.|10
24|GRDON|Community Chest|money_players|Grand Opera Night|Collect $50 from every player for opening night seats.|50
25|HOLFM|Community Chest|money|Holiday Fund matures|Receive $100.|100
26|INCTR|Community Chest|money|Income Tax Refund|Collect $20.|20
27|YBDAY|Community Chest|money_players|It is your Birthday|Collect $10 from each player.|10
28|LINSM|Community Chest|money|Life Insurance Matures|Collect $100.|100
29|HOSPF|Community Chest|money|Pay hospital fees of $100|Pay $100.|-100
30|SCHLF|Community Chest|money|Pay school fees of $150|Pay $150.|-150
31|CONSF|Community Chest|money|Receive $25 consultancy fee|Collect $25|25
32|STRRP|Community Chest|money_houses|Assessed for street repairs|You are assessed for street repairs - $40 per house - $115 per hotel.|0
33|BEUTP|Community Chest|money|You have won second prize in a beauty contest|Collect $10|10
34|INHRT|Community Chest|money|You inherit $100|Collect $100|100
